,"(p,d,q,P,D,Q,s)",AIC
96,"(3, 1, 4, 2, 1, 1, 12)",276.1983248786777
97,"(3, 1, 1, 0, 1, 2, 12)",276.2169962063581
98,"(2, 1, 3, 1, 1, 3, 12)",276.236785780412
99,"(0, 1, 1, 0, 1, 2, 12)",276.24786252269496
100,"(3, 1, 4, 2, 1, 3, 12)",276.25876539156445
101,"(2, 1, 4, 4, 1, 0, 12)",276.2709959779776
102,"(3, 1, 3, 4, 1, 0, 12)",276.28206670457
103,"(1, 1, 1, 2, 1, 0, 12)",276.32957239625
104,"(3, 1, 4, 3, 1, 0, 12)",276.3691998980196
105,"(1, 1, 4, 2, 1, 0, 12)",276.396562270127
106,"(2, 1, 2, 1, 1, 3, 12)",276.4168603451705
107,"(2, 1, 4, 2, 1, 2, 12)",276.4202392706013
108,"(2, 1, 4, 3, 1, 1, 12)",276.42446742592625
109,"(3, 1, 3, 2, 1, 2, 12)",276.4319949346086
110,"(3, 1, 3, 3, 1, 1, 12)",276.4381892353613
111,"(3, 1, 1, 1, 1, 2, 12)",276.5439264217899
112,"(3, 1, 1, 1, 1, 1, 12)",276.5612098570348
113,"(4, 1, 2, 2, 1, 3, 12)",276.5809641078341
114,"(4, 1, 3, 1, 1, 3, 12)",276.5840333136206
115,"(4, 1, 4, 0, 1, 3, 12)",276.59676455798774
116,"(4, 1, 4, 2, 1, 3, 12)",276.5999198688405
117,"(2, 1, 0, 1, 1, 3, 12)",276.60872256180585
118,"(0, 1, 2, 2, 1, 0, 12)",276.6130840116942
119,"(0, 1, 1, 1, 1, 1, 12)",276.6355337229372
120,"(0, 1, 3, 2, 1, 0, 12)",276.63843592776607
121,"(2, 1, 1, 2, 1, 3, 12)",276.64968010693815
122,"(0, 1, 1, 3, 1, 3, 12)",276.6516564779496
123,"(0, 1, 3, 0, 1, 1, 12)",276.6560221214743
124,"(4, 1, 1, 2, 1, 1, 12)",276.6572184596131
125,"(3, 1, 2, 2, 1, 1, 12)",276.7468878710678
126,"(2, 1, 4, 3, 1, 4, 12)",276.7476118281513
127,"(4, 1, 4, 2, 1, 1, 12)",276.77252538925063
128,"(4, 1, 1, 3, 1, 0, 12)",276.77513262954017
129,"(2, 1, 1, 1, 1, 4, 12)",276.78012552905335
130,"(1, 1, 1, 3, 1, 3, 12)",276.79549898874416
131,"(0, 1, 4, 0, 1, 4, 12)",276.8034471256332
132,"(3, 1, 3, 3, 1, 4, 12)",276.8357235745517
133,"(3, 1, 3, 2, 1, 4, 12)",276.8388251831858
134,"(4, 1, 2, 2, 1, 0, 12)",276.84852799968974
135,"(0, 1, 4, 0, 1, 2, 12)",276.858069430548
136,"(4, 1, 1, 0, 1, 2, 12)",276.85920394473493
137,"(3, 1, 2, 3, 1, 0, 12)",276.8714032540115
138,"(1, 1, 4, 0, 1, 1, 12)",276.8803918380521
139,"(3, 1, 4, 1, 1, 0, 12)",276.9166945452636
140,"(4, 1, 4, 1, 1, 1, 12)",276.92115137818286
141,"(0, 1, 3, 3, 1, 3, 12)",276.92217105572183
142,"(3, 1, 3, 4, 1, 4, 12)",276.92415358550033
143,"(3, 1, 2, 0, 1, 2, 12)",276.9517598345251
144,"(4, 1, 4, 0, 1, 2, 12)",276.9533853790002
145,"(4, 1, 1, 0, 1, 4, 12)",277.0140921969148
146,"(1, 1, 1, 2, 1, 4, 12)",277.0277890858472
147,"(2, 1, 4, 4, 1, 4, 12)",277.03454621349226
148,"(3, 1, 1, 4, 1, 4, 12)",277.0563631410359
149,"(0, 1, 1, 0, 1, 3, 12)",277.0766381872052
150,"(0, 1, 3, 2, 1, 4, 12)",277.1034825243609
151,"(3, 1, 2, 0, 1, 4, 12)",277.1382261839884
152,"(4, 1, 3, 0, 1, 1, 12)",277.13967366290757
153,"(3, 1, 3, 3, 1, 3, 12)",277.16644930602166
154,"(0, 1, 4, 2, 1, 1, 12)",277.18551309430603
155,"(0, 1, 4, 3, 1, 0, 12)",277.18673853198425
156,"(0, 1, 2, 3, 1, 3, 12)",277.18945350548734
157,"(1, 1, 2, 1, 1, 4, 12)",277.216868979455
158,"(4, 1, 4, 3, 1, 0, 12)",277.2212929774664
159,"(1, 1, 2, 2, 1, 3, 12)",277.2324124662662
160,"(4, 1, 1, 1, 1, 2, 12)",277.27559711628317
161,"(3, 1, 4, 1, 1, 2, 12)",277.2936610488265
162,"(0, 1, 1, 2, 1, 4, 12)",277.29986669033644
163,"(4, 1, 4, 3, 1, 3, 12)",277.30888130148185
164,"(4, 1, 1, 1, 1, 1, 12)",277.313859476482
165,"(2, 1, 1, 2, 1, 2, 12)",277.3270621446752
166,"(1, 1, 1, 0, 1, 2, 12)",277.3483680746241
167,"(0, 1, 4, 1, 1, 1, 12)",277.3636716763705
168,"(4, 1, 0, 1, 1, 3, 12)",277.3691562469569
169,"(0, 1, 1, 4, 1, 2, 12)",277.37736517571193
170,"(3, 1, 2, 1, 1, 2, 12)",277.3854870933565
171,"(2, 1, 3, 2, 1, 0, 12)",277.40286610620655
172,"(3, 1, 2, 1, 1, 1, 12)",277.4054350425438
173,"(0, 1, 4, 1, 1, 2, 12)",277.41917774410604
174,"(1, 1, 4, 3, 1, 3, 12)",277.4242937251535
175,"(1, 1, 1, 0, 1, 3, 12)",277.43691156269904
176,"(1, 1, 4, 2, 1, 4, 12)",277.46029814865824
177,"(3, 1, 1, 3, 1, 4, 12)",277.47235651074607
178,"(1, 1, 4, 0, 1, 3, 12)",277.48759145369047
179,"(0, 1, 2, 2, 1, 4, 12)",277.4931597249308
180,"(0, 1, 1, 2, 1, 1, 12)",277.4957684897524
181,"(2, 1, 4, 4, 1, 2, 12)",277.49916983031915
182,"(0, 1, 1, 0, 1, 4, 12)",277.51311514423287
183,"(0, 1, 2, 0, 1, 2, 12)",277.53350772165186
184,"(1, 1, 1, 1, 1, 1, 12)",277.5680224013653
185,"(0, 1, 1, 3, 1, 0, 12)",277.5784656585974
186,"(0, 1, 1, 1, 1, 2, 12)",277.6027324925849
187,"(1, 1, 3, 1, 1, 3, 12)",277.64161149175
188,"(4, 1, 2, 0, 1, 1, 12)",277.6539731558058
189,"(0, 1, 3, 0, 1, 3, 12)",277.6610652212558
190,"(2, 1, 1, 0, 1, 1, 12)",277.6948188575873
191,"(0, 1, 3, 0, 1, 2, 12)",277.70484337545935
192,"(0, 1, 2, 1, 1, 1, 12)",277.7644958902573
193,"(0, 1, 2, 0, 1, 3, 12)",277.7720809494789
194,"(4, 1, 2, 2, 1, 4, 12)",277.7998857407839
195,"(4, 1, 4, 1, 1, 0, 12)",277.82081608150406
196,"(4, 1, 3, 2, 1, 0, 12)",277.8285532639812
197,"(4, 1, 4, 1, 1, 4, 12)",277.8309454755898
198,"(3, 1, 4, 0, 1, 4, 12)",277.8361046495636
199,"(1, 1, 2, 0, 1, 1, 12)",277.8368589314796
200,"(3, 1, 3, 4, 1, 2, 12)",277.8443835618261
201,"(2, 1, 0, 2, 1, 3, 12)",277.84811327905794
202,"(3, 1, 1, 4, 1, 0, 12)",277.8597468740138
203,"(4, 1, 2, 0, 1, 3, 12)",277.8672027583609
204,"(3, 1, 4, 2, 1, 4, 12)",277.8799533856228
205,"(3, 1, 1, 2, 1, 2, 12)",277.8826135901111
206,"(0, 1, 3, 0, 1, 4, 12)",277.89533403569646
207,"(3, 1, 1, 3, 1, 1, 12)",277.8970201120636
208,"(3, 1, 3, 4, 1, 3, 12)",277.9006622126484
209,"(3, 1, 4, 3, 1, 3, 12)",277.91663731418913
210,"(2, 1, 4, 4, 1, 3, 12)",277.9192842433222
211,"(2, 1, 3, 0, 1, 2, 12)",277.9712124118049
212,"(1, 1, 4, 0, 1, 2, 12)",277.9887838551583
213,"(1, 1, 1, 0, 1, 4, 12)",278.0185162263268
214,"(2, 1, 1, 2, 1, 0, 12)",278.019891042713
215,"(2, 1, 1, 3, 1, 3, 12)",278.03419335002184
216,"(3, 1, 4, 4, 1, 0, 12)",278.0619832715687
217,"(4, 1, 1, 4, 1, 4, 12)",278.07271332799326
218,"(4, 1, 4, 1, 1, 2, 12)",278.1355595941644
219,"(0, 1, 3, 1, 1, 1, 12)",278.14802495456524
220,"(4, 1, 2, 3, 1, 3, 12)",278.17229984247354
221,"(3, 1, 4, 3, 1, 1, 12)",278.20679445714336
222,"(3, 1, 4, 2, 1, 2, 12)",278.20961670529107
223,"(3, 1, 2, 4, 1, 4, 12)",278.21790143737223
224,"(3, 1, 1, 1, 1, 0, 12)",278.22356992193284
