,"(p,d,q,P,D,Q,s)",AIC
96,"(2, 1, 0, 2, 1, 2, 12)",899.9821929091345
97,"(1, 1, 2, 1, 1, 3, 12)",899.9943427203602
98,"(3, 1, 1, 2, 1, 2, 12)",900.0491221957751
99,"(2, 1, 3, 3, 1, 3, 12)",900.1211986171228
100,"(3, 1, 0, 2, 1, 3, 12)",900.1554286915368
101,"(0, 1, 2, 3, 1, 2, 12)",900.1714634864546
102,"(1, 1, 3, 0, 1, 0, 12)",900.2629769290161
103,"(3, 1, 0, 3, 1, 1, 12)",900.2743091549007
104,"(0, 1, 3, 2, 1, 0, 12)",900.3838240899161
105,"(2, 1, 3, 1, 1, 3, 12)",900.4692233502241
106,"(3, 1, 1, 1, 1, 1, 12)",900.5583736997426
107,"(1, 1, 2, 3, 1, 1, 12)",900.6164908840809
108,"(0, 1, 3, 0, 1, 2, 12)",900.6168987521283
109,"(2, 1, 2, 0, 1, 0, 12)",900.6399403625886
110,"(3, 1, 1, 1, 1, 0, 12)",900.6707997416945
111,"(0, 1, 1, 0, 1, 0, 12)",900.6849840901355
112,"(0, 1, 1, 1, 1, 1, 12)",900.6905353491925
113,"(1, 1, 0, 2, 1, 0, 12)",900.7052281150148
114,"(1, 1, 3, 1, 1, 0, 12)",900.8083338000099
115,"(1, 1, 3, 3, 1, 2, 12)",900.8127144547332
116,"(1, 1, 0, 1, 1, 0, 12)",900.8228649030726
117,"(3, 1, 0, 3, 1, 3, 12)",900.832021415131
118,"(1, 1, 0, 0, 1, 2, 12)",900.85808194766
119,"(3, 1, 2, 2, 1, 1, 12)",900.8640591186704
120,"(0, 1, 2, 2, 1, 2, 12)",900.9042077103674
121,"(3, 1, 1, 0, 1, 1, 12)",900.9047381588198
122,"(3, 1, 2, 3, 1, 3, 12)",900.9055109484146
123,"(2, 1, 3, 0, 1, 0, 12)",900.9102220158229
124,"(1, 1, 3, 1, 1, 1, 12)",900.9234274003667
125,"(1, 1, 1, 0, 1, 0, 12)",900.9713390341022
126,"(2, 1, 3, 3, 1, 2, 12)",901.0143889898959
127,"(1, 1, 3, 2, 1, 2, 12)",901.0209166455984
128,"(1, 1, 3, 0, 1, 1, 12)",901.0344854497114
129,"(2, 1, 2, 1, 1, 1, 12)",901.0461003108392
130,"(1, 1, 0, 0, 1, 1, 12)",901.0521457732373
131,"(3, 1, 0, 3, 1, 2, 12)",901.0934287759851
132,"(2, 1, 3, 2, 1, 2, 12)",901.1899309480722
133,"(1, 1, 2, 3, 1, 3, 12)",901.2561753628102
134,"(3, 1, 0, 2, 1, 2, 12)",901.3039790462689
135,"(2, 1, 0, 0, 1, 0, 12)",901.3373207797923
136,"(2, 1, 1, 3, 1, 3, 12)",901.3443532334885
137,"(1, 1, 1, 1, 1, 1, 12)",901.3989701891097
138,"(1, 1, 2, 3, 1, 2, 12)",901.4030639799855
139,"(2, 1, 2, 1, 1, 0, 12)",901.4130377640746
140,"(3, 1, 3, 3, 1, 2, 12)",901.4464593021277
141,"(3, 1, 3, 2, 1, 2, 12)",901.4508617618606
142,"(3, 1, 0, 0, 1, 0, 12)",901.4653640045987
143,"(0, 1, 1, 1, 1, 0, 12)",901.4774119326137
144,"(3, 1, 3, 1, 1, 0, 12)",901.5173567307459
145,"(2, 1, 1, 3, 1, 2, 12)",901.5509643956655
146,"(2, 1, 0, 1, 1, 1, 12)",901.594073389101
147,"(3, 1, 2, 0, 1, 0, 12)",901.6028536751181
148,"(2, 1, 2, 0, 1, 1, 12)",901.6478816757821
149,"(0, 1, 1, 2, 1, 0, 12)",901.6591413472696
150,"(1, 1, 0, 3, 1, 0, 12)",901.6729662706191
151,"(0, 1, 1, 0, 1, 1, 12)",901.7208228894258
152,"(0, 1, 1, 0, 1, 2, 12)",901.7466181304686
153,"(3, 1, 1, 0, 1, 0, 12)",901.7494219835851
154,"(3, 1, 3, 0, 1, 1, 12)",901.8110119003425
155,"(1, 1, 2, 2, 1, 2, 12)",901.8561168624512
156,"(2, 1, 2, 2, 1, 0, 12)",901.8607678153082
