,"(p,d,q,P,D,Q,s)",AIC
94,"(8, 2, 1, 0, 0, 0, 12)",1209.2097030893021
95,"(0, 2, 7, 0, 0, 0, 12)",1210.0605441278785
96,"(1, 2, 7, 0, 0, 0, 12)",1210.5784743696963
97,"(5, 2, 8, 0, 0, 0, 12)",1210.7452742010314
98,"(0, 2, 8, 0, 0, 0, 12)",1211.8618175702322
99,"(1, 2, 9, 0, 0, 0, 12)",1212.2662643017893
100,"(9, 2, 2, 0, 0, 0, 12)",1212.7131365770936
101,"(3, 2, 6, 0, 0, 0, 12)",1212.7580982126024
102,"(2, 2, 6, 0, 0, 0, 12)",1213.0616862597885
103,"(7, 2, 5, 0, 0, 0, 12)",1213.0963815399145
104,"(6, 2, 5, 0, 0, 0, 12)",1214.152006576971
105,"(2, 2, 5, 0, 0, 0, 12)",1214.2772918238843
106,"(7, 2, 8, 0, 0, 0, 12)",1214.7204680336206
107,"(0, 2, 12, 0, 0, 0, 12)",1214.9393659949656
108,"(4, 2, 4, 0, 0, 0, 12)",1215.0869428636167
109,"(3, 2, 5, 0, 0, 0, 12)",1215.153293929268
110,"(3, 2, 7, 0, 0, 0, 12)",1215.2794561692212
111,"(0, 2, 6, 0, 0, 0, 12)",1215.6908694406761
112,"(1, 2, 8, 0, 0, 0, 12)",1215.9217965002867
113,"(6, 2, 6, 0, 0, 0, 12)",1216.2468772231634
114,"(4, 2, 5, 0, 0, 0, 12)",1218.7351994571727
115,"(7, 2, 7, 0, 0, 0, 12)",1219.2980817861703
116,"(1, 2, 5, 0, 0, 0, 12)",1219.4117283825726
117,"(5, 2, 4, 0, 0, 0, 12)",1219.622527287475
118,"(7, 2, 6, 0, 0, 0, 12)",1221.0714185878273
119,"(1, 2, 6, 0, 0, 0, 12)",1223.1222613396822
120,"(7, 2, 3, 0, 0, 0, 12)",1223.3889493946758
121,"(6, 2, 7, 0, 0, 0, 12)",1223.548909114163
122,"(2, 2, 8, 0, 0, 0, 12)",1224.8336279467637
123,"(0, 2, 5, 0, 0, 0, 12)",1224.9881030368158
124,"(5, 2, 5, 0, 0, 0, 12)",1225.0597237595975
125,"(5, 2, 3, 0, 0, 0, 12)",1226.357446149213
126,"(5, 2, 7, 0, 0, 0, 12)",1226.6269036563308
127,"(6, 2, 3, 0, 0, 0, 12)",1227.485660209169
128,"(5, 2, 6, 0, 0, 0, 12)",1229.4697916065318
129,"(4, 2, 6, 0, 0, 0, 12)",1231.7012555991118
130,"(2, 2, 4, 0, 0, 0, 12)",1233.557276439577
131,"(6, 2, 4, 0, 0, 0, 12)",1234.1278711611712
132,"(3, 2, 10, 0, 0, 0, 12)",1237.7852175077587
133,"(3, 2, 8, 0, 0, 0, 12)",1238.1055704956777
134,"(4, 2, 3, 0, 0, 0, 12)",1239.0971030884925
135,"(3, 2, 4, 0, 0, 0, 12)",1239.4988193298884
136,"(7, 2, 4, 0, 0, 0, 12)",1241.9489627317753
137,"(4, 2, 2, 0, 0, 0, 12)",1242.2018225759193
138,"(6, 2, 2, 0, 0, 0, 12)",1243.4030273449357
139,"(5, 2, 2, 0, 0, 0, 12)",1243.9062648189542
140,"(7, 2, 2, 0, 0, 0, 12)",1245.40915706224
141,"(0, 2, 4, 0, 0, 0, 12)",1246.83116524977
142,"(6, 2, 1, 0, 0, 0, 12)",1249.6146113638215
143,"(4, 2, 1, 0, 0, 0, 12)",1251.3295439865674
144,"(5, 2, 1, 0, 0, 0, 12)",1252.938053254145
145,"(1, 2, 2, 0, 0, 0, 12)",1254.330013141601
146,"(1, 2, 3, 0, 0, 0, 12)",1254.8899924735979
147,"(2, 2, 2, 0, 0, 0, 12)",1254.9895508657794
148,"(3, 2, 2, 0, 0, 0, 12)",1255.9290316212732
149,"(1, 2, 4, 0, 0, 0, 12)",1256.444641455506
150,"(2, 2, 3, 0, 0, 0, 12)",1256.83873363848
151,"(3, 2, 1, 0, 0, 0, 12)",1257.569980697108
152,"(3, 2, 3, 0, 0, 0, 12)",1258.6474678094385
153,"(0, 2, 3, 0, 0, 0, 12)",1259.050694658131
154,"(2, 2, 1, 0, 0, 0, 12)",1259.88077574092
155,"(0, 2, 2, 0, 0, 0, 12)",1260.3701231953492
156,"(1, 2, 1, 0, 0, 0, 12)",1263.8617354179378
157,"(8, 2, 0, 0, 0, 0, 12)",1263.9835769872323
158,"(9, 2, 0, 0, 0, 0, 12)",1265.9801330825856
159,"(7, 2, 1, 0, 0, 0, 12)",1269.2856518903268
160,"(0, 2, 1, 0, 0, 0, 12)",1273.740491040066
161,"(7, 2, 0, 0, 0, 0, 12)",1278.5037370451644
162,"(6, 2, 0, 0, 0, 0, 12)",1279.281185962007
163,"(4, 2, 0, 0, 0, 0, 12)",1280.6724859608223
164,"(5, 2, 0, 0, 0, 0, 12)",1281.7321568539874
165,"(3, 2, 0, 0, 0, 0, 12)",1300.2823351909153
166,"(2, 2, 0, 0, 0, 0, 12)",1302.9131959558704
167,"(1, 2, 0, 0, 0, 0, 12)",1308.152194084842
168,"(0, 2, 0, 0, 0, 0, 12)",1311.9192685371177
