,"(p,d,q,P,D,Q,s)",AIC
94,"(1, 1, 1, 2, 0, 0, 4)",1753.6962355781416
95,"(1, 1, 1, 0, 0, 3, 4)",1753.7368221195327
96,"(1, 1, 1, 0, 0, 2, 4)",1753.771054581403
97,"(3, 1, 1, 3, 0, 3, 4)",1753.777514960862
98,"(1, 1, 1, 0, 0, 0, 4)",1753.8106688292976
99,"(1, 1, 3, 3, 0, 0, 4)",1753.8219657313116
100,"(1, 1, 1, 1, 0, 1, 4)",1753.8301850577338
101,"(2, 1, 1, 1, 0, 3, 4)",1753.8366768677115
102,"(3, 1, 2, 2, 0, 3, 4)",1753.8455309899816
103,"(1, 1, 3, 0, 0, 3, 4)",1753.8571734293582
104,"(0, 1, 3, 3, 0, 2, 4)",1753.9070638605015
105,"(0, 1, 3, 2, 0, 2, 4)",1753.9498365548193
106,"(0, 1, 0, 3, 0, 2, 4)",1753.9734115005617
107,"(2, 1, 0, 1, 0, 0, 4)",1754.017399600103
108,"(1, 1, 3, 2, 0, 0, 4)",1754.0763016778826
109,"(1, 1, 3, 0, 0, 2, 4)",1754.1016735922599
110,"(1, 1, 3, 1, 0, 1, 4)",1754.1377470243413
111,"(2, 1, 0, 0, 0, 1, 4)",1754.1622043055165
112,"(1, 1, 1, 2, 0, 1, 4)",1754.1905866823427
113,"(2, 1, 2, 3, 0, 3, 4)",1754.207482160085
114,"(3, 1, 1, 3, 0, 0, 4)",1754.2583198777552
115,"(2, 1, 2, 2, 0, 0, 4)",1754.2945035641576
116,"(2, 1, 3, 0, 0, 1, 4)",1754.338269072206
117,"(3, 1, 1, 2, 0, 0, 4)",1754.3619976333166
118,"(2, 1, 3, 1, 0, 0, 4)",1754.368230606161
119,"(3, 1, 1, 0, 0, 3, 4)",1754.413872052024
120,"(1, 1, 2, 3, 0, 1, 4)",1754.418015781158
121,"(3, 1, 1, 0, 0, 2, 4)",1754.4196665240324
122,"(2, 1, 3, 0, 0, 0, 4)",1754.4397150963246
123,"(3, 1, 1, 1, 0, 1, 4)",1754.4422628828372
124,"(0, 1, 2, 1, 0, 0, 4)",1754.4740572227383
125,"(2, 1, 2, 3, 0, 0, 4)",1754.5079490146445
126,"(3, 1, 2, 0, 0, 1, 4)",1754.522107942869
127,"(3, 1, 2, 1, 0, 0, 4)",1754.5596702687876
128,"(1, 1, 0, 2, 0, 3, 4)",1754.6201113711245
129,"(0, 1, 1, 2, 0, 3, 4)",1754.6510688134324
130,"(3, 1, 2, 3, 0, 2, 4)",1754.6538378064495
131,"(2, 1, 1, 3, 0, 1, 4)",1754.7031297827716
132,"(1, 1, 3, 2, 0, 1, 4)",1754.7170796765504
133,"(1, 1, 1, 1, 0, 3, 4)",1754.7451519004467
134,"(0, 1, 2, 0, 0, 1, 4)",1754.7626451760323
135,"(3, 1, 0, 0, 0, 2, 4)",1754.7840725258202
136,"(3, 1, 0, 2, 0, 0, 4)",1754.7916518783518
137,"(2, 1, 2, 2, 0, 1, 4)",1754.8400623997773
138,"(0, 1, 3, 1, 0, 0, 4)",1754.8703478402251
139,"(3, 1, 0, 1, 0, 1, 4)",1754.8889985064748
140,"(1, 1, 1, 1, 0, 2, 4)",1754.9453426601929
141,"(0, 1, 3, 0, 0, 1, 4)",1754.9503635472392
142,"(3, 1, 1, 2, 0, 1, 4)",1754.9617357451416
143,"(2, 1, 2, 3, 0, 1, 4)",1755.0002870230683
144,"(1, 1, 0, 2, 0, 2, 4)",1755.0184588917632
145,"(0, 1, 1, 2, 0, 2, 4)",1755.096288918844
146,"(1, 1, 3, 1, 0, 3, 4)",1755.1146148452171
147,"(3, 1, 2, 0, 0, 0, 4)",1755.1524677240998
148,"(1, 1, 3, 1, 0, 2, 4)",1755.1574416506478
149,"(0, 1, 0, 1, 0, 0, 4)",1755.40707308315
150,"(2, 1, 3, 3, 0, 3, 4)",1755.4442089947422
151,"(1, 1, 1, 3, 0, 1, 4)",1755.4588002231367
152,"(3, 1, 0, 3, 0, 0, 4)",1755.4650360256135
153,"(3, 1, 0, 2, 0, 1, 4)",1755.610052610913
154,"(3, 1, 1, 1, 0, 2, 4)",1755.6418643928027
155,"(3, 1, 1, 1, 0, 3, 4)",1755.65006106897
156,"(3, 1, 0, 0, 0, 3, 4)",1755.7465218180014
157,"(2, 1, 0, 0, 0, 2, 4)",1755.7670839018697
158,"(3, 1, 0, 3, 0, 3, 4)",1755.817258064666
159,"(1, 1, 0, 3, 0, 2, 4)",1755.837311281437
160,"(0, 1, 1, 3, 0, 2, 4)",1755.87645073238
161,"(3, 1, 2, 3, 0, 3, 4)",1755.8962189851393
162,"(2, 1, 0, 2, 0, 0, 4)",1755.938668077867
163,"(2, 1, 0, 3, 0, 3, 4)",1755.9392160209245
164,"(1, 1, 3, 3, 0, 1, 4)",1755.9503225250796
165,"(2, 1, 0, 1, 0, 1, 4)",1755.9769600996071
166,"(0, 1, 2, 0, 0, 2, 4)",1756.0679797060238
167,"(0, 1, 0, 0, 0, 1, 4)",1756.1316580844841
168,"(2, 1, 3, 3, 0, 0, 4)",1756.1547507482842
169,"(2, 1, 3, 2, 0, 0, 4)",1756.2600570498216
170,"(2, 1, 3, 0, 0, 3, 4)",1756.2824378434739
171,"(2, 1, 3, 0, 0, 2, 4)",1756.309488247542
172,"(2, 1, 3, 1, 0, 1, 4)",1756.3318478621295
173,"(0, 1, 2, 2, 0, 0, 4)",1756.3522960888135
174,"(3, 1, 2, 3, 0, 0, 4)",1756.3748908883167
175,"(0, 1, 2, 1, 0, 1, 4)",1756.4072126695723
176,"(3, 1, 2, 2, 0, 0, 4)",1756.4251554813586
177,"(2, 1, 0, 3, 0, 0, 4)",1756.4795916894436
178,"(3, 1, 2, 0, 0, 2, 4)",1756.4833804347636
179,"(3, 1, 1, 3, 0, 1, 4)",1756.5079575459113
180,"(0, 1, 3, 0, 0, 2, 4)",1756.5228445211071
181,"(2, 1, 0, 0, 0, 3, 4)",1756.5256460133944
182,"(3, 1, 2, 1, 0, 1, 4)",1756.5469518284356
183,"(0, 1, 0, 0, 0, 2, 4)",1756.5533298057621
184,"(3, 1, 2, 0, 0, 3, 4)",1756.5893906504134
185,"(0, 1, 3, 2, 0, 0, 4)",1756.6050732286453
186,"(0, 1, 2, 3, 0, 3, 4)",1756.6144929597926
187,"(3, 1, 0, 1, 0, 2, 4)",1756.6202514439879
188,"(0, 1, 3, 1, 0, 1, 4)",1756.7227054076639
189,"(2, 1, 0, 2, 0, 1, 4)",1756.7330489934984
190,"(0, 1, 2, 3, 0, 0, 4)",1756.8148243364067
191,"(2, 1, 3, 2, 0, 1, 4)",1756.8819195858036
192,"(0, 1, 0, 3, 0, 3, 4)",1756.9199294437267
193,"(0, 1, 2, 0, 0, 3, 4)",1756.9249659823063
194,"(3, 1, 0, 1, 0, 3, 4)",1756.9530727736396
195,"(0, 1, 0, 3, 0, 0, 4)",1757.0098107948388
196,"(0, 1, 2, 2, 0, 1, 4)",1757.0125020564924
197,"(3, 1, 2, 2, 0, 1, 4)",1757.0438945162136
198,"(1, 1, 0, 1, 0, 0, 4)",1757.1457683968592
199,"(0, 1, 1, 1, 0, 0, 4)",1757.2119861587094
200,"(0, 1, 0, 0, 0, 3, 4)",1757.2342398232993
201,"(0, 1, 3, 3, 0, 0, 4)",1757.2391860715888
202,"(3, 1, 0, 0, 0, 0, 4)",1757.252069645605
203,"(0, 1, 3, 2, 0, 1, 4)",1757.314267480294
204,"(0, 1, 0, 2, 0, 0, 4)",1757.3574598281034
